hhid,surveyperiod,hhsize,dwelltype,owndwell,totalbikes,totalvehs,travmonth,travdow,homelga,youngestgroup_5,aveagegroup_5,oldestgroup_5,hhinc_group,hhpoststratweight,hhpoststratweight_GROUP_1,hhpoststratweight_GROUP_2,hhpoststratweight_GROUP_3,hhpoststratweight_GROUP_4,hhpoststratweight_GROUP_5,hhpoststratweight_GROUP_6,hhpoststratweight_GROUP_7,hhpoststratweight_GROUP_8,hhpoststratweight_GROUP_9,hhpoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y24H6060322,2023-24,1,"Unit, Flat or Apartment",Being Rented,0,1,March,Monday,Merri-bek (C),30->34,30->34,30->34,"$2,500-$2,999 ($130,000-$155,999)",446.3702519,0.0,464.0668808,475.2793461,457.19917,413.259995,621.9008546,504.2939732,545.448124,478.7497247,432.106311,MELB - Inner,Greater Melbourne,Weekday
Y24H6060326,2023-24,4,Separate House,Being Purchased,Missing/Refused,2,March,Friday,Merri-bek (C),15->19,30->34,50->54,"$3,500-$3,999 ($182,000-$207,999)",530.8302923,0.0,537.2790438,550.7805567,507.3656851,514.5011188,676.7003396,746.1996311,602.5848118,582.2876578,566.402866,MELB - Inner,Greater Melbourne,Weekday
Y24H6060328,2023-24,1,Terrace or Townhouse,Fully Owned,1,1,March,Sunday,Merri-bek (C),45->49,45->49,45->49,"$2,500-$2,999 ($130,000-$155,999)",551.7967077,0.0,584.8139659,593.5992532,569.4950098,482.0749123,743.1898622,620.8656243,659.6105627,601.1414167,572.2039927,MELB - Inner,Greater Melbourne,Weekend
Y24H6060331,2023-24,1,"Unit, Flat or Apartment",Being Rented,0,1,March,Wednesday,Merri-bek (C),35->39,35->39,35->39,"$2,500-$2,999 ($130,000-$155,999)",506.0850331,0.0,525.0105319,551.4507427,506.822293,459.3728639,708.9198913,554.9363169,613.1482259,550.0503521,490.2256627,MELB - Inner,Greater Melbourne,Weekday
Y24H6060334,2023-24,2,Separate House,Being Rented,2,2,March,Saturday,Merri-bek (C),30->34,30->34,30->34,"$1,750-$1,999 ($91,000-$103,999)",618.920641,0.0,678.0730783,658.5921272,600.070688,604.8825098,825.6743673,815.4497068,624.1619727,656.7676246,644.3268036,MELB - Inner,Greater Melbourne,Weekend
Y24H6060335,2023-24,2,"Unit, Flat or Apartment",Being Rented,0,2,March,Sunday,Merri-bek (C),35->39,35->39,35->39,"$2,500-$2,999 ($130,000-$155,999)",447.8429233,0.0,434.8927192,488.7668491,467.785679,424.2674702,591.7730322,543.6347776,520.7873598,472.8285623,479.2004223,MELB - Inner,Greater Melbourne,Weekend
Y24H6060336,2023-24,1,Separate House,Fully Owned,1,1,March,Monday,Merri-bek (C),70->74,70->74,70->74,"$300-$399 ($15,600-$20,799)",446.3702519,0.0,464.0668808,475.2793461,457.19917,413.259995,621.9008546,504.2939732,545.448124,478.7497247,432.106311,MELB - Inner,Greater Melbourne,Weekday
Y24H6060339,2023-24,2,"Unit, Flat or Apartment",Being Rented,0,0,March,Thursday,Merri-bek (C),25->29,25->29,25->29,"$150-$299 ($7,800-$15,599)",384.3079645,0.0,378.3650959,433.6748079,388.9426159,468.9627585,549.6581165,496.5322371,362.1349465,409.1988824,346.7515362,MELB - Inner,Greater Melbourne,Weekday
Y24H6060401,2023-24,6,Separate House,Being Purchased,3,3,March,Monday,Hume (C),0->4,15->19,40->44,"$2,500-$2,999 ($130,000-$155,999)",1225.670407,0.0,1138.533957,1419.313472,1195.376852,1957.474323,1241.895179,1552.369333,1170.757046,1271.647072,1596.507931,MELB - Outer,Greater Melbourne,Weekday
Y24H6060407,2023-24,5,Separate House,Fully Owned,0,2,March,Sunday,Hume (C),5->9,20->24,45->49,"$2,000-$2,499 ($104,000-$129,999)",907.4981637,0.0,1054.914884,1030.102788,1053.241034,1054.097589,907.0079802,933.0191983,1023.34042,869.7438684,1149.207113,MELB - Outer,Greater Melbourne,Weekend
Y24H6060411,2023-24,2,Separate House,Fully Owned,0,1,March,Thursday,Hume (C),70->74,70->74,75->79,"$500-$649 ($26,000-$33,799)",599.5244843,0.0,596.5702819,539.2977274,754.1059635,662.4246454,670.3477253,611.6393406,640.2543563,575.3234244,893.20973,MELB - Outer,Greater Melbourne,Weekday
Y24H6060412,2023-24,2,Separate House,Being Rented,0,1,March,Friday,Hume (C),30->34,30->34,30->34,"$650-$799 ($33,800-$41,599)",640.5131729,0.0,638.0197476,571.1160374,801.8090362,733.1813184,722.1994207,645.6185918,692.4090701,621.2653682,932.1877361,MELB - Outer,Greater Melbourne,Weekday
Y24H6060416,2023-24,4,Separate House,Fully Owned,0,3,March,Tuesday,Hume (C),50->54,65->69,80->84,"$1-$149 ($1-$7,799)",1324.837427,0.0,1215.661174,1433.450333,1352.010362,1813.537196,1262.356053,1453.170323,1432.759016,1366.675823,2114.865494,MELB - Outer,Greater Melbourne,Weekday
Y24H6066102,2023-24,2,Separate House,Being Rented,0,2,March,Tuesday,Greater Shepparton (C),50->54,55->59,60->64,"$2,000-$2,499 ($104,000-$129,999)",160.074356,178.1247582,173.6781503,183.3289816,162.8581918,181.7374156,189.6399129,181.2065709,0.0,159.1825497,181.7446963,Other,Shepparton SA4,Weekday
Y24H6066109,2023-24,6,Separate House,Being Rented,2,1,March,Tuesday,Greater Shepparton (C),0->4,15->19,35->39,"$1,000-$1,249 ($52,000-$64,999)",192.2273567,246.901538,193.2195892,279.5921583,166.6369033,192.2714642,211.7471775,201.6095485,0.0,191.6088942,246.1035929,Other,Shepparton SA4,Weekday
Y24H6066110,2023-24,2,Separate House,Being Purchased,0,1,March,Wednesday,Greater Shepparton (C),45->49,45->49,45->49,"$3,500-$3,999 ($182,000-$207,999)",121.2577948,138.6456024,129.1024081,130.2679226,123.8207904,137.447538,146.893394,142.4618125,0.0,121.9058827,139.8416874,Other,Shepparton SA4,Weekday
Y24H6066112,2023-24,2,Separate House,Fully Owned,3,2,March,Friday,Greater Shepparton (C),70->74,70->74,70->74,"$800-$999 ($41,600-$51,999)",163.9819217,180.3176162,185.5430347,189.9206093,174.4659802,189.6528878,199.0764843,182.9984373,0.0,163.0428363,181.5799077,Other,Shepparton SA4,Weekday
Y24H6066115,2023-24,1,Separate House,Being Rented,0,0,March,Monday,Greater Shepparton (C),50->54,50->54,50->54,,144.8476524,155.0623683,144.6796966,194.3827347,161.3763604,168.0215133,183.5991633,146.8265718,0.0,144.0197853,147.092441,Other,Shepparton SA4,Weekday
Y24H6066119,2023-24,4,Other,Being Rented,0,1,March,Friday,Greater Shepparton (C),10->14,15->19,35->39,"$150-$299 ($7,800-$15,599)",141.7308619,156.9806515,149.1357971,171.0931032,173.9741677,155.3657862,149.5615366,133.8825822,0.0,141.2370245,190.4545547,Other,Shepparton SA4,Weekday
Y24H6066122,2023-24,2,Separate House,Fully Owned,1,1,March,Monday,Greater Shepparton (C),55->59,60->64,60->64,"$2,000-$2,499 ($104,000-$129,999)",80.21261574,0.0,85.58707136,84.20559843,83.77309473,92.73768652,96.64680915,97.09578097,94.97098648,79.57781626,92.44692842,Other,Shepparton SA4,Weekday
Y24H6066125,2023-24,4,Separate House,Being Purchased,4,1,March,Thursday,Greater Shepparton (C),5->9,20->24,35->39,"$2,500-$2,999 ($130,000-$155,999)",99.49575454,0.0,104.5853027,121.1708073,122.7177714,105.2789977,104.117609,95.12720281,111.0759873,98.09451739,136.8682414,Other,Shepparton SA4,Weekday
Y24H6066131,2023-24,2,Separate House,Being Purchased,0,2,March,Wednesday,Greater Shepparton (C),30->34,30->34,30->34,"$2,500-$2,999 ($130,000-$155,999)",120.6894858,0.0,132.9239789,143.0661849,126.2900636,138.4649561,148.7171763,130.8742396,134.8737196,121.3504154,134.3555835,Other,Shepparton SA4,Weekday
Y24H6066132,2023-24,1,Separate House,Fully Owned,0,1,March,Thursday,Greater Shepparton (C),55->59,55->59,55->59,"$2,500-$2,999 ($130,000-$155,999)",107.9794065,0.0,118.4610048,141.2517238,112.6974279,111.4608837,118.5106125,106.2168272,117.4297711,106.2372356,144.1151016,Other,Shepparton SA4,Weekday
Y24H6066135,2023-24,5,Separate House,Being Purchased,6,4,March,Sunday,Greater Shepparton (C),0->4,20->24,45->49,"$3,000-$3,499 ($156,000-$181,999)",433.8225247,0.0,447.1774079,688.2285328,499.8605409,372.7172281,593.0235444,472.7527134,467.580052,439.1190939,415.1988387,Other,Shepparton SA4,Weekend
Y24H6066137,2023-24,3,Separate House,Being Purchased,2,2,March,Tuesday,Greater Shepparton (C),5->9,35->39,55->59,"$800-$999 ($41,600-$51,999)",136.7227645,0.0,151.2125242,161.733973,146.3954891,147.2639516,155.9238018,137.3788852,162.7700038,136.1399012,162.7862219,Other,Shepparton SA4,Weekday
Y24H6066138,2023-24,1,Separate House,Fully Owned,Missing/Refused,1,March,Wednesday,Greater Shepparton (C),60->64,60->64,60->64,"$800-$999 ($41,600-$51,999)",113.2072602,0.0,121.0167071,150.242624,115.6510923,120.0926808,127.1727737,106.9102803,126.2116871,113.8466175,148.3836661,Other,Shepparton SA4,Weekday
Y24H6066139,2023-24,2,Separate House,Fully Owned,3,2,March,Thursday,Greater Shepparton (C),35->39,40->44,45->49,"$1,000-$1,249 ($52,000-$64,999)",115.1161067,0.0,130.1168117,134.5047411,123.0646858,128.512631,138.5875541,130.0253489,125.4890921,113.239488,130.490566,Other,Shepparton SA4,Weekday
Y24H6066202,2023-24,1,Separate House,Being Purchased,0,1,March,Tuesday,Greater Shepparton (C),30->34,30->34,30->34,"$2,500-$2,999 ($130,000-$155,999)",112.6128292,136.5062527,0.0,144.3938024,111.8539767,118.2176381,121.6253276,111.0198157,132.1264744,112.0045291,150.5405114,Other,Shepparton SA4,Weekday
Y24H6066203,2023-24,1,Separate House,Fully Owned,0,1,March,Wednesday,Greater Shepparton (C),60->64,60->64,60->64,"$2,500-$2,999 ($130,000-$155,999)",113.2072602,137.9224686,0.0,150.242624,115.6510923,120.0926808,127.1727737,106.9102803,126.2116871,113.8466175,148.3836661,Other,Shepparton SA4,Weekday
Y24H6066206,2023-24,4,Separate House,Fully Owned,2,2,March,Saturday,Greater Shepparton (C),5->9,25->29,40->44,"$6,000-$7,999 ($312,000-$415,999)",141.5335432,152.8947135,0.0,193.2646465,171.4371165,157.9065016,148.2197993,122.0851419,155.8411445,144.5193133,186.4571708,Other,Shepparton SA4,Weekend
Y24H6066207,2023-24,2,Separate House,Fully Owned,0,2,March,Sunday,Greater Shepparton (C),65->69,65->69,65->69,"$2,000-$2,499 ($104,000-$129,999)",131.5906548,141.5273846,0.0,154.0010267,141.9068616,145.3078465,155.9063289,146.4227769,145.0940023,132.6219688,156.8232901,Other,Shepparton SA4,Weekend
Y24H6066209,2023-24,3,Separate House,Being Purchased,3,2,March,Tuesday,Greater Shepparton (C),5->9,25->29,35->39,"$1,250-$1,499 ($65,000-$77,999)",136.7227645,155.6069616,0.0,161.733973,146.3954891,147.2639516,155.9238018,137.3788852,162.7700038,136.1399012,162.7862219,Other,Shepparton SA4,Weekday
Y24H6066214,2023-24,1,Separate House,Fully Owned,1,1,March,Sunday,Greater Shepparton (C),75->79,75->79,75->79,"$500-$649 ($26,000-$33,799)",123.432604,144.6130463,0.0,161.7259757,129.9522946,126.0276196,133.3204461,119.6117751,135.7755897,124.4211856,173.1972287,Other,Shepparton SA4,Weekend
Y24H6066218,2023-24,4,Separate House,Fully Owned,4,3,March,Thursday,Greater Shepparton (C),15->19,30->34,50->54,"$4,000-$4,499 ($208,000-$233,999)",254.6042218,267.7007881,0.0,344.8576636,282.933255,274.7374519,279.5598056,254.7818996,258.7454638,251.7347139,328.9301508,Other,Shepparton SA4,Weekday
Y24H6066221,2023-24,3,Separate House,Fully Owned,0,2,March,Sunday,Greater Shepparton (C),30->34,60->64,75->79,"$3,000-$3,499 ($156,000-$181,999)",149.8590077,164.8481025,0.0,181.1475572,170.0827301,156.9928614,170.9169563,148.0108052,167.2654428,151.2321694,187.2859487,Other,Shepparton SA4,Weekend
Y24H6066223,2023-24,2,Separate House,Being Purchased,3,2,March,Tuesday,Greater Shepparton (C),60->64,65->69,70->74,"$4,000-$4,499 ($208,000-$233,999)",192.0892272,213.7497098,208.4137804,219.9947779,195.4298302,218.0848987,0.0,217.4478851,225.9111115,191.0190597,218.0936356,Other,Shepparton SA4,Weekday
Y24H6066230,2023-24,1,Separate House,Fully Owned,0,1,March,Tuesday,Greater Shepparton (C),90->94,90->94,90->94,,180.1805268,218.4100044,189.7441653,231.0300838,178.9663627,189.148221,0.0,177.6317051,211.4023591,179.2072466,240.8648183,Other,Shepparton SA4,Weekday
Y24H6066231,2023-24,2,Separate House,Fully Owned,2,1,March,Wednesday,Greater Shepparton (C),80->84,80->84,80->84,"$800-$999 ($41,600-$51,999)",145.5093537,166.3747228,154.9228897,156.3215071,148.5849485,164.9370456,0.0,170.954175,170.8138004,146.2870593,167.8100249,Other,Shepparton SA4,Weekday
Y24H6066232,2023-24,3,Separate House,Fully Owned,3,4,March,Thursday,Greater Shepparton (C),20->24,45->49,60->64,"$3,000-$3,499 ($156,000-$181,999)",433.9193241,558.0323273,477.9118692,506.5745796,597.4200425,400.9912605,0.0,498.2262279,485.9710539,428.1913534,380.5618874,Other,Shepparton SA4,Weekday
Y24H6066233,2023-24,2,Separate House,Fully Owned,0,0,March,Friday,Greater Shepparton (C),65->69,65->69,65->69,"$4,000-$4,499 ($208,000-$233,999)",161.3263858,165.7048614,164.5239534,175.2260499,178.5991435,197.6289889,0.0,203.2076287,205.4379352,160.6885115,143.4703611,Other,Shepparton SA4,Weekday
Y24H6070103,2023-24,2,Separate House,Fully Owned,0,2,March,Wednesday,Casey (C),55->59,55->59,55->59,"$1,750-$1,999 ($91,000-$103,999)",595.1173554,0.0,538.766202,747.1244681,712.4652193,664.7234489,710.8479187,614.1818206,595.3887381,614.8241971,683.4159209,MELB - Outer,Greater Melbourne,Weekday
Y24H6070104,2023-24,4,Separate House,Being Purchased,1,2,March,Thursday,Casey (C),15->19,30->34,50->54,"$4,000-$4,499 ($208,000-$233,999)",534.6972884,0.0,538.105108,658.6658595,699.4466779,532.30121,631.650498,579.7375976,541.0088108,576.5308595,567.5416284,MELB - Outer,Greater Melbourne,Weekday
Y24H6070106,2023-24,4,Separate House,Being Purchased,2,4,March,Saturday,Casey (C),20->24,30->34,55->59,"$1,500-$1,749 ($78,000-$90,999)",608.3988804,0.0,610.4284508,788.2394249,660.0240954,687.4723688,592.8752167,635.2985603,695.097763,695.17712,626.2394614,MELB - Outer,Greater Melbourne,Weekend
Y24H6070109,2023-24,6,Separate House,Being Purchased,0,7,March,Tuesday,Casey (C),20->24,20->24,30->34,"$3,000-$3,499 ($156,000-$181,999)",797.7075365,0.0,796.784171,981.805932,842.6439157,963.5809907,823.3680265,844.8347877,901.828934,847.1118231,781.8204578,MELB - Outer,Greater Melbourne,Weekday
Y24H6070112,2023-24,1,Separate House,Fully Owned,0,1,March,Friday,Casey (C),70->74,70->74,70->74,"$1,500-$1,749 ($78,000-$90,999)",490.2646453,0.0,509.0774855,571.5829488,568.538244,514.3472203,648.1174777,525.816801,458.8555212,519.3919833,495.4687569,MELB - Outer,Greater Melbourne,Weekday
Y24H6070113,2023-24,5,Separate House,Being Purchased,3,2,March,Saturday,Casey (C),0->4,20->24,40->44,"$650-$799 ($33,800-$41,599)",772.3763728,0.0,797.6865329,952.1605751,949.4401221,877.1298384,950.6258719,809.7398108,769.3893126,821.0330435,767.1099799,MELB - Outer,Greater Melbourne,Weekend
Y24H6070115,2023-24,2,Separate House,Fully Owned,1,3,March,Monday,Casey (C),55->59,55->59,60->64,"$400-$499 ($20,800-$25,999)",514.8425537,0.0,493.6223665,607.3738568,594.8563812,583.0064677,585.8359886,544.741494,530.8822406,543.0744486,596.5059339,MELB - Outer,Greater Melbourne,Weekday
Y24H6070119,2023-24,2,Separate House,Being Purchased,1,2,March,Friday,Casey (C),55->59,55->59,60->64,"$1,250-$1,499 ($65,000-$77,999)",606.4435954,0.0,564.0309424,743.8567729,738.18719,682.8445543,713.6689322,644.0972286,599.0864048,619.5447326,692.721117,MELB - Outer,Greater Melbourne,Weekday
Y24H6070122,2023-24,2,Separate House,Fully Owned,0,2,March,Monday,Casey (C),55->59,55->59,55->59,"$1,750-$1,999 ($91,000-$103,999)",599.8826656,780.3056286,544.2580359,735.9140975,734.5228978,683.4251794,712.6768218,637.8661194,605.3137497,611.5739643,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H6070128,2023-24,1,Separate House,Being Purchased,Missing/Refused,1,March,Sunday,Casey (C),55->59,55->59,55->59,"$300-$399 ($15,600-$20,799)",599.5015854,823.0218399,619.0460701,706.2548927,704.6654977,600.5050819,773.4427979,641.1009198,560.6620825,643.7832529,0.0,MELB - Outer,Greater Melbourne,Weekend
Y24H6070129,2023-24,2,Separate House,Fully Owned,Missing/Refused,3,March,Monday,Casey (C),30->34,45->49,55->59,"$6,000-$7,999 ($312,000-$415,999)",588.3914899,770.814984,564.1398475,694.1415506,679.8358642,666.293106,669.5268441,622.5617074,606.7225606,620.6565126,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H6070134,2023-24,4,Separate House,Being Purchased,3,2,March,Saturday,Casey (C),5->9,25->29,45->49,"$2,500-$2,999 ($130,000-$155,999)",655.0225481,821.8263321,655.7302014,819.9233795,821.1634415,679.3069007,761.2954296,694.2039113,686.647542,731.3753506,0.0,MELB - Outer,Greater Melbourne,Weekend
Y24H6070139,2023-24,2,Separate House,Fully Owned,1,2,March,Thursday,Casey (C),60->64,60->64,65->69,"$150-$299 ($7,800-$15,599)",648.7258728,862.2750038,602.729393,802.7595913,793.4505772,705.0808,757.0625138,697.3691973,633.098384,655.6914608,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H6070140,2023-24,4,Separate House,Being Purchased,4,3,March,Friday,Casey (C),10->14,25->29,45->49,"$1,250-$1,499 ($65,000-$77,999)",640.3554949,811.4860299,681.7317083,751.9237194,786.6541944,656.4454664,730.6361318,682.5852507,670.2180138,722.0743565,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H6070142,2023-24,1,Separate House,Being Purchased,2,1,March,Sunday,Casey (C),40->44,40->44,40->44,"$1,000-$1,249 ($52,000-$64,999)",599.5015854,823.0218399,619.0460701,706.2548927,704.6654977,600.5050819,773.4427979,641.1009198,560.6620825,643.7832529,0.0,MELB - Outer,Greater Melbourne,Weekend
Y24H6070203,2023-24,1,Separate House,Fully Owned,0,1,March,Wednesday,Maroondah (C),90->94,90->94,90->94,,755.0617946,972.0398617,929.4540435,0.0,847.0393559,750.1193846,840.8741284,809.0960457,770.6326071,778.2693593,834.6496729,MELB - Outer,Greater Melbourne,Weekday
Y24H6070204,2023-24,3,Terrace or Townhouse,Being Purchased,1,1,March,Thursday,Maroondah (C),10->14,35->39,50->54,"$1,750-$1,999 ($91,000-$103,999)",526.9623627,658.2329262,614.406702,0.0,755.7674772,540.8309291,605.6546852,569.4095389,474.2924585,500.0899918,561.8592613,MELB - Outer,Greater Melbourne,Weekday
Y24H6070206,2023-24,5,Terrace or Townhouse,Being Purchased,2,2,March,Saturday,Maroondah (C),0->4,20->24,55->59,"$1,500-$1,749 ($78,000-$90,999)",821.6557509,898.1966774,931.6295243,0.0,1112.723759,926.693001,935.3525707,890.9748874,803.1563533,803.7542536,1039.581037,MELB - Outer,Greater Melbourne,Weekend
Y24H6070207,2023-24,3,Separate House,Being Purchased,3,3,March,Sunday,Maroondah (C),10->14,40->44,55->59,"$2,500-$2,999 ($130,000-$155,999)",669.4103862,699.9623773,783.2726708,0.0,820.9962634,743.1154967,774.9769656,787.9218242,625.0583546,670.8361724,853.6105477,MELB - Outer,Greater Melbourne,Weekend
Y24H6070208,2023-24,1,Separate House,Fully Owned,0,1,March,Monday,Maroondah (C),80->84,80->84,80->84,"$150-$299 ($7,800-$15,599)",665.9693557,824.5181453,821.5622593,0.0,764.105478,674.8207339,737.657873,735.2596094,685.5440367,677.3856977,735.6966772,MELB - Outer,Greater Melbourne,Weekday
Y24H6070209,2023-24,3,"Unit, Flat or Apartment",Being Rented,0,3,March,Tuesday,Maroondah (C),20->24,45->49,55->59,"$3,500-$3,999 ($182,000-$207,999)",610.7316469,660.7235212,689.0748035,0.0,706.6569869,697.064335,706.9945392,731.3237818,608.2592379,603.8898381,741.9458693,MELB - Outer,Greater Melbourne,Weekday
Y24H6070211,2023-24,5,Separate House,Being Purchased,Missing/Refused,2,March,Thursday,Maroondah (C),5->9,40->44,80->84,"$3,000-$3,499 ($156,000-$181,999)",766.5378034,839.9488456,873.7297396,0.0,1083.189181,829.8875646,886.9331992,850.3580368,723.2068225,724.0982042,977.5517241,MELB - Outer,Greater Melbourne,Weekday
Y24H6070213,2023-24,2,"Unit, Flat or Apartment",Being Purchased,Missing/Refused,1,March,Saturday,Maroondah (C),45->49,55->59,60->64,"$3,500-$3,999 ($182,000-$207,999)",679.1255203,929.3141455,792.8543349,0.0,800.8645333,727.8754647,810.6749736,719.6892183,655.5823128,701.61521,752.5369291,MELB - Outer,Greater Melbourne,Weekend
Y24H6070219,2023-24,3,"Unit, Flat or Apartment",Being Purchased,0,1,March,Friday,Maroondah (C),40->44,50->54,65->69,"$4,500-$4,999 ($234,000-$259,999)",562.9900759,703.5805027,657.0954351,0.0,803.5756535,598.5996089,652.5023452,601.0427391,512.9280213,540.0242362,586.3777512,MELB - Outer,Greater Melbourne,Weekday
Y24H6070222,2023-24,1,"Unit, Flat or Apartment",Being Purchased,0,0,March,Monday,Maroondah (C),30->34,30->34,30->34,"$1,500-$1,749 ($78,000-$90,999)",672.3218122,764.7977431,0.0,909.5670342,748.2619557,644.0571281,748.1474349,853.9567914,612.2615914,676.2945169,727.5298005,MELB - Middle,Greater Melbourne,Weekday
Y24H6070224,2023-24,2,Separate House,Fully Owned,1,2,March,Wednesday,Maroondah (C),75->79,75->79,75->79,"$4,000-$4,499 ($208,000-$233,999)",811.8621285,989.5370562,0.0,890.4386834,855.4235193,768.779873,1030.406123,954.3359439,843.5816497,834.6332385,988.2726203,MELB - Middle,Greater Melbourne,Weekday
Y24H6070228,2023-24,3,Separate House,Being Purchased,2,2,March,Sunday,Maroondah (C),0->4,20->24,25->29,"$6,000-$7,999 ($312,000-$415,999)",736.2473805,785.8509403,0.0,969.9018455,931.810469,669.3792792,851.0866792,885.1138432,729.1314403,721.6803183,915.9039565,MELB - Middle,Greater Melbourne,Weekend
Y24H6070231,2023-24,1,"Unit, Flat or Apartment",Being Rented,0,2,March,Wednesday,Maroondah (C),55->59,55->59,55->59,"$1,000-$1,249 ($52,000-$64,999)",849.4445189,1093.544844,0.0,1050.030834,952.9192754,843.8843077,945.9833945,910.2330515,866.961683,875.5530292,938.980882,MELB - Middle,Greater Melbourne,Weekday
Y24H6070235,2023-24,1,"Unit, Flat or Apartment",Fully Owned,0,1,March,Sunday,Maroondah (C),95->99,95->99,95->99,"$650-$799 ($33,800-$41,599)",926.1698297,1146.592378,0.0,1130.286843,1070.755528,885.5887789,991.7132771,1018.37345,932.6571609,956.8781956,1096.002618,MELB - Middle,Greater Melbourne,Weekend
Y24H6070236,2023-24,1,"Unit, Flat or Apartment",Fully Owned,0,1,March,Monday,Maroondah (C),70->74,70->74,70->74,"$500-$649 ($26,000-$33,799)",749.2155252,927.5829135,0.0,904.9910169,859.6186628,759.1733256,829.8651071,827.1670606,771.2370412,762.0589099,827.6587618,MELB - Middle,Greater Melbourne,Weekday
Y24H6070238,2023-24,3,"Unit, Flat or Apartment",Being Purchased,2,2,March,Wednesday,Maroondah (C),0->4,25->29,35->39,"$3,000-$3,499 ($156,000-$181,999)",675.2555329,749.4932467,0.0,901.0339723,829.265069,637.8566249,811.8413702,791.1241933,677.7721194,660.3446413,784.6845352,MELB - Middle,Greater Melbourne,Weekday
Y24H6070239,2023-24,2,"Unit, Flat or Apartment",Being Rented,2,1,March,Thursday,Maroondah (C),0->4,20->24,40->44,"$2,500-$2,999 ($130,000-$155,999)",712.7648129,977.6793978,0.0,763.6888149,877.0584481,733.3190663,864.798357,772.7408588,664.1132816,711.0918545,796.0892077,MELB - Middle,Greater Melbourne,Weekday
Y24H6070303,2023-24,1,"Unit, Flat or Apartment",Fully Owned,0,1,March,Wednesday,Port Phillip (C),45->49,45->49,45->49,"$150-$299 ($7,800-$15,599)",786.8870463,826.9153224,892.4663511,0.0,867.720698,784.9240231,898.6581308,886.1470425,933.3931995,978.9243162,746.5643493,MELB - Inner,Greater Melbourne,Weekday
Y24H6070304,2023-24,1,"Unit, Flat or Apartment",Being Rented,0,0,March,Thursday,Port Phillip (C),20->24,20->24,20->24,"$650-$799 ($33,800-$41,599)",736.2438437,707.5972919,864.9091659,0.0,810.6861981,910.4905369,875.0534836,905.525069,698.2271952,925.8786197,630.5554597,MELB - Inner,Greater Melbourne,Weekday
Y24H6070306,2023-24,1,"Unit, Flat or Apartment",Being Rented,Missing/Refused,0,March,Saturday,Port Phillip (C),80->84,80->84,80->84,"$500-$649 ($26,000-$33,799)",789.1835022,756.6669564,922.2244343,0.0,832.7906232,1016.698218,922.8243188,948.7769405,775.4152623,1027.731977,670.5665619,MELB - Inner,Greater Melbourne,Weekend
Y24H6070314,2023-24,2,"Unit, Flat or Apartment",Being Rented,2,1,March,Sunday,Port Phillip (C),30->34,30->34,30->34,"$5,000-$5,999 ($260,000-$311,999)",696.3292176,664.3426565,739.2749186,0.0,800.8868621,724.9399251,750.1576038,868.1002409,792.7926062,841.4927384,729.7740176,MELB - Inner,Greater Melbourne,Weekend
Y24H6070315,2023-24,1,"Unit, Flat or Apartment",Being Rented,0,1,March,Monday,Port Phillip (C),30->34,30->34,30->34,"$1,250-$1,499 ($65,000-$77,999)",694.0394323,701.4184447,788.8681285,0.0,782.7619037,706.1316053,788.3489608,805.2790911,830.3335933,852.0306279,658.0544255,MELB - Inner,Greater Melbourne,Weekday
Y24H6070317,2023-24,1,"Unit, Flat or Apartment",Being Rented,0,1,March,Wednesday,Port Phillip (C),30->34,30->34,30->34,"$1,500-$1,749 ($78,000-$90,999)",786.8870463,826.9153224,892.4663511,0.0,867.720698,784.9240231,898.6581308,886.1470425,933.3931995,978.9243162,746.5643493,MELB - Inner,Greater Melbourne,Weekday
Y24H6070320,2023-24,3,"Unit, Flat or Apartment",Being Purchased,1,1,March,Saturday,Port Phillip (C),0->4,25->29,40->44,"$3,000-$3,499 ($156,000-$181,999)",538.8869455,564.8878595,487.4355158,0.0,586.03532,776.0202058,558.5209289,623.1887952,602.0361855,630.3709086,580.3092291,MELB - Inner,Greater Melbourne,Weekend
Y24H6070323,2023-24,2,Terrace or Townhouse,Fully Owned,0,0,March,Tuesday,Stonnington (C),65->69,65->69,65->69,"$4,000-$4,499 ($208,000-$233,999)",327.9074025,340.8229649,406.2505886,0.0,314.6179972,467.7601614,338.3215145,402.3179289,300.1977194,377.5897955,292.7613938,MELB - Inner,Greater Melbourne,Weekday
Y24H6070324,2023-24,3,Terrace or Townhouse,Being Rented,0,3,March,Wednesday,Stonnington (C),25->29,50->54,65->69,"$5,000-$5,999 ($260,000-$311,999)",408.7451095,522.7922064,490.2921163,0.0,401.2871283,594.9372666,400.1966781,468.5340616,351.8643769,438.6254525,453.1058209,MELB - Inner,Greater Melbourne,Weekday
Y24H6070326,2023-24,1,"Unit, Flat or Apartment",Being Purchased,Missing/Refused,1,March,Friday,Stonnington (C),50->54,50->54,50->54,"$3,500-$3,999 ($182,000-$207,999)",421.9259086,493.2375709,589.4955126,0.0,427.9757407,443.783618,426.8619538,451.141085,454.5478877,485.1222026,401.6251444,MELB - Inner,Greater Melbourne,Weekday
